symbol,direction,entry_time,exit_time,entry,exit,stop_loss,take_profit,pnl,bars_held,exit_reason
GBPUSD,short,2025-01-01 07:43:00+00:00,2025-01-01 08:43:00+00:00,988.6120669927603,990.8381529470937,1022.5164583628299,963.8859451625462,-2.226085954333371,60,timeout
GBPUSD,short,2025-01-01 09:00:00+00:00,2025-01-01 10:00:00+00:00,987.5418287753314,977.5598890167959,1021.9881116951236,962.4181713904145,9.981939758535532,60,timeout
GBPUSD,short,2025-01-01 10:01:00+00:00,2025-01-01 11:01:00+00:00,976.5571258184109,973.029385544607,1010.5181976361,951.7877665743595,3.5277402738039427,60,timeout
GBPUSD,short,2025-01-01 11:02:00+00:00,2025-01-01 12:02:00+00:00,971.5576886451345,952.8751349583392,1006.3918452749862,946.1473738947443,18.682553686795245,60,timeout
GBPUSD,short,2025-01-01 12:03:00+00:00,2025-01-01 13:03:00+00:00,950.586263668884,967.5717772603998,986.8134651113853,924.1514744522925,-16.98551359151577,60,timeout
GBPUSD,short,2025-01-01 13:10:00+00:00,2025-01-01 14:10:00+00:00,964.6955325559721,967.6433610671204,1002.2655886379121,937.2779399122759,-2.947828511148259,60,timeout
GBPUSD,short,2025-01-01 14:21:00+00:00,2025-01-01 15:21:00+00:00,964.314601909768,946.6253517942299,1002.5976282082382,936.3741116140072,17.68925011553813,60,timeout
GBPUSD,short,2025-01-01 15:23:00+00:00,2025-01-01 16:23:00+00:00,945.8320951483656,948.0996259751028,983.5999636867133,918.2668240973748,-2.2675308267371292,60,timeout
GBPUSD,short,2025-01-01 16:26:00+00:00,2025-01-01 17:26:00+00:00,947.382326598319,953.0436142463013,984.7390360220636,920.1187872139966,-5.661287647982363,60,timeout
GBPUSD,short,2025-01-02 07:01:00+00:00,2025-01-02 08:01:00+00:00,886.0236805240351,869.6608920384746,918.1476333426764,862.5889869038065,16.362788485560486,60,timeout
GBPUSD,short,2025-01-02 08:02:00+00:00,2025-01-02 09:02:00+00:00,867.0191806989418,847.0525646127654,900.4394253567817,842.6312375618184,19.966616086176373,60,timeout
GBPUSD,short,2025-01-02 09:03:00+00:00,2025-01-02 10:03:00+00:00,846.5968931288833,849.9669841458497,880.9639784956281,821.5117680214505,-3.3700910169663985,60,timeout
GBPUSD,short,2025-01-02 10:05:00+00:00,2025-01-02 11:05:00+00:00,846.810788933979,840.9061074995773,878.4334108402533,823.7383000268159,5.904681434401709,60,timeout
GBPUSD,short,2025-01-04 07:00:00+00:00,2025-01-04 08:00:00+00:00,892.8917404190767,888.6293712792767,923.7248943795976,870.4045850753043,4.262369139799944,60,timeout
GBPUSD,short,2025-01-04 08:02:00+00:00,2025-01-04 09:00:00+00:00,889.1916191603669,867.2186417095851,919.4173946333622,867.1493615829155,21.972977450781855,58,target
GBPUSD,short,2025-01-04 09:04:00+00:00,2025-01-04 10:04:00+00:00,867.10154850307,860.9654437238019,898.6507534966784,844.0857125422992,6.13610477926818,60,timeout
GBPUSD,short,2025-01-04 10:21:00+00:00,2025-01-04 11:21:00+00:00,866.4766434186595,860.8509033698198,896.7920010287091,844.3655422120605,5.6257400488397025,60,timeout
GBPUSD,short,2025-01-04 11:22:00+00:00,2025-01-04 12:22:00+00:00,859.8142114795064,842.9391733014039,889.5285392903191,838.142941527871,16.8750381781025,60,timeout
GBPUSD,short,2025-01-04 12:23:00+00:00,2025-01-04 13:23:00+00:00,842.5284668414479,850.1572552682012,871.4422345168292,821.4418771741003,-7.628788426753317,60,timeout
GBPUSD,long,2025-01-05 10:00:00+00:00,2025-01-05 11:00:00+00:00,937.6158388463696,940.1907217198534,902.6688690784571,963.1136110136384,2.57488287348383,60,timeout
GBPUSD,long,2025-01-05 11:01:00+00:00,2025-01-05 11:48:00+00:00,941.2455876696603,964.9325940036425,908.6617047641522,965.0099261862586,23.687006333982254,47,target
GBPUSD,long,2025-01-05 11:49:00+00:00,2025-01-05 12:49:00+00:00,968.8451065250046,969.4494468818164,933.6459582606726,994.5234794776051,0.6043403568118038,60,timeout
GBPUSD,long,2025-01-05 12:52:00+00:00,2025-01-05 13:52:00+00:00,970.4141835238602,959.2726416634056,933.8980799943189,997.0581061096752,-11.141541860454595,60,timeout
GBPUSD,long,2025-01-05 13:53:00+00:00,2025-01-05 14:53:00+00:00,961.1756471307169,946.8188216570348,925.2411483372317,987.3943405513262,-14.356825473682079,60,timeout
GBPUSD,long,2025-01-05 15:01:00+00:00,2025-01-05 16:01:00+00:00,953.8867454804143,943.2972735171835,919.8085335479761,978.745172516433,-10.589471963230835,60,timeout
